zt, wre_ref, wre, wre_refF, wm_ref, wm, wm_refF, va, ia, dwre, zdwre, e_induced
10.057000, 83.774114, 83.783218, 83.774114, 800.000000, 800.086946, 800.000000, 83.882993, 0.099744, -0.009107, 0.163243, 83.783218
10.058000, 83.774114, 83.783193, 83.774114, 800.000000, 800.086702, 800.000000, 83.882968, 0.099745, -0.009082, 0.163234, 83.783193
10.059000, 83.774114, 83.783168, 83.774114, 800.000000, 800.086459, 800.000000, 83.882943, 0.099746, -0.009056, 0.163225, 83.783168
10.060000, 83.774114, 83.783142, 83.774114, 800.000000, 800.086217, 800.000000, 83.882918, 0.099746, -0.009031, 0.163216, 83.783142
10.061000, 83.774114, 83.783117, 83.774114, 800.000000, 800.085975, 800.000000, 83.882894, 0.099747, -0.009006, 0.163207, 83.783117
10.062000, 83.774114, 83.783092, 83.774114, 800.000000, 800.085734, 800.000000, 83.882869, 0.099748, -0.008980, 0.163198, 83.783092
10.063000, 83.774114, 83.783066, 83.774114, 800.000000, 800.085493, 800.000000, 83.882844, 0.099749, -0.008955, 0.163189, 83.783066
10.064000, 83.774114, 83.783041, 83.774114, 800.000000, 800.085254, 800.000000, 83.882820, 0.099749, -0.008930, 0.163180, 83.783041
10.065000, 83.774114, 83.783016, 83.774114, 800.000000, 800.085015, 800.000000, 83.882796, 0.099750, -0.008905, 0.163171, 83.783016
10.066000, 83.774114, 83.782991, 83.774114, 800.000000, 800.084776, 800.000000, 83.882771, 0.099751, -0.008880, 0.163162, 83.782991
10.067000, 83.774114, 83.782966, 83.774114, 800.000000, 800.084538, 800.000000, 83.882747, 0.099751, -0.008855, 0.163153, 83.782966
10.068000, 83.774114, 83.782942, 83.774114, 800.000000, 800.084301, 800.000000, 83.882723, 0.099752, -0.008830, 0.163144, 83.782942
10.069000, 83.774114, 83.782917, 83.774114, 800.000000, 800.084065, 800.000000, 83.882699, 0.099753, -0.008806, 0.163136, 83.782917
10.070000, 83.774114, 83.782892, 83.774114, 800.000000, 800.083829, 800.000000, 83.882675, 0.099754, -0.008781, 0.163127, 83.782892
10.071000, 83.774114, 83.782868, 83.774114, 800.000000, 800.083594, 800.000000, 83.882651, 0.099754, -0.008756, 0.163118, 83.782868
10.072000, 83.774114, 83.782843, 83.774114, 800.000000, 800.083360, 800.000000, 83.882627, 0.099755, -0.008732, 0.163109, 83.782843
10.073000, 83.774114, 83.782819, 83.774114, 800.000000, 800.083126, 800.000000, 83.882603, 0.099756, -0.008707, 0.163101, 83.782819
10.074000, 83.774114, 83.782794, 83.774114, 800.000000, 800.082893, 800.000000, 83.882579, 0.099756, -0.008683, 0.163092, 83.782794
10.075000, 83.774114, 83.782770, 83.774114, 800.000000, 800.082661, 800.000000, 83.882555, 0.099757, -0.008658, 0.163083, 83.782770
10.076000, 83.774114, 83.782745, 83.774114, 800.000000, 800.082429, 800.000000, 83.882532, 0.099758, -0.008634, 0.163075, 83.782745
10.077000, 83.774114, 83.782721, 83.774114, 800.000000, 800.082198, 800.000000, 83.882508, 0.099758, -0.008610, 0.163066, 83.782721
10.078000, 83.774114, 83.782697, 83.774114, 800.000000, 800.081967, 800.000000, 83.882484, 0.099759, -0.008586, 0.163057, 83.782697
10.079000, 83.774114, 83.782673, 83.774114, 800.000000, 800.081737, 800.000000, 83.882461, 0.099760, -0.008562, 0.163049, 83.782673
10.080000, 83.774114, 83.782649, 83.774114, 800.000000, 800.081508, 800.000000, 83.882438, 0.099760, -0.008538, 0.163040, 83.782649
10.081000, 83.774114, 83.782625, 83.774114, 800.000000, 800.081280, 800.000000, 83.882414, 0.099761, -0.008514, 0.163032, 83.782625
10.082000, 83.774114, 83.782601, 83.774114, 800.000000, 800.081052, 800.000000, 83.882391, 0.099762, -0.008490, 0.163023, 83.782601
10.083000, 83.774114, 83.782577, 83.774114, 800.000000, 800.080825, 800.000000, 83.882368, 0.099762, -0.008466, 0.163015, 83.782577
10.084000, 83.774114, 83.782554, 83.774114, 800.000000, 800.080598, 800.000000, 83.882345, 0.099763, -0.008442, 0.163006, 83.782554
10.085000, 83.774114, 83.782530, 83.774114, 800.000000, 800.080372, 800.000000, 83.882321, 0.099764, -0.008419, 0.162998, 83.782530
10.086000, 83.774114, 83.782506, 83.774114, 800.000000, 800.080147, 800.000000, 83.882298, 0.099764, -0.008395, 0.162989, 83.782506
10.087000, 83.774114, 83.782483, 83.774114, 800.000000, 800.079922, 800.000000, 83.882275, 0.099765, -0.008372, 0.162981, 83.782483
10.088000, 83.774114, 83.782459, 83.774114, 800.000000, 800.079698, 800.000000, 83.882253, 0.099766, -0.008348, 0.162973, 83.782459
10.089000, 83.774114, 83.782436, 83.774114, 800.000000, 800.079474, 800.000000, 83.882230, 0.099766, -0.008325, 0.162964, 83.782436
10.090000, 83.774114, 83.782413, 83.774114, 800.000000, 800.079251, 800.000000, 83.882207, 0.099767, -0.008301, 0.162956, 83.782413
10.091000, 83.774114, 83.782389, 83.774114, 800.000000, 800.079029, 800.000000, 83.882184, 0.099768, -0.008278, 0.162948, 83.782389
10.092000, 83.774114, 83.782366, 83.774114, 800.000000, 800.078808, 800.000000, 83.882162, 0.099768, -0.008255, 0.162939, 83.782366
10.093000, 83.774114, 83.782343, 83.774114, 800.000000, 800.078587, 800.000000, 83.882139, 0.099769, -0.008232, 0.162931, 83.782343
10.094000, 83.774114, 83.782320, 83.774114, 800.000000, 800.078366, 800.000000, 83.882117, 0.099770, -0.008209, 0.162923, 83.782320
10.095000, 83.774114, 83.782297, 83.774114, 800.000000, 800.078147, 800.000000, 83.882094, 0.099770, -0.008186, 0.162915, 83.782297
10.096000, 83.774114, 83.782274, 83.774114, 800.000000, 800.077927, 800.000000, 83.882072, 0.099771, -0.008163, 0.162907, 83.782274
10.097000, 83.774114, 83.782251, 83.774114, 800.000000, 800.077709, 800.000000, 83.882050, 0.099772, -0.008140, 0.162898, 83.782251
10.098000, 83.774114, 83.782228, 83.774114, 800.000000, 800.077491, 800.000000, 83.882027, 0.099772, -0.008117, 0.162890, 83.782228
10.099000, 83.774114, 83.782206, 83.774114, 800.000000, 800.077274, 800.000000, 83.882005, 0.099773, -0.008094, 0.162882, 83.782206
10.100000, 83.774114, 83.782183, 83.774114, 800.000000, 800.077057, 800.000000, 83.881983, 0.099773, -0.008071, 0.162874, 83.782183
10.101000, 83.774114, 83.782160, 83.774114, 800.000000, 800.076841, 800.000000, 83.881961, 0.099774, -0.008049, 0.162866, 83.782160
10.102000, 83.774114, 83.782138, 83.774114, 800.000000, 800.076626, 800.000000, 83.881939, 0.099775, -0.008026, 0.162858, 83.782138
10.103000, 83.774114, 83.782115, 83.774114, 800.000000, 800.076411, 800.000000, 83.881917, 0.099775, -0.008004, 0.162850, 83.782115
10.104000, 83.774114, 83.782093, 83.774114, 800.000000, 800.076196, 800.000000, 83.881895, 0.099776, -0.007981, 0.162842, 83.782093
10.105000, 83.774114, 83.782070, 83.774114, 800.000000, 800.075983, 800.000000, 83.881873, 0.099777, -0.007959, 0.162834, 83.782070
10.106000, 83.774114, 83.782048, 83.774114, 800.000000, 800.075770, 800.000000, 83.881851, 0.099777, -0.007937, 0.162826, 83.782048
10.107000, 83.774114, 83.782026, 83.774114, 800.000000, 800.075557, 800.000000, 83.881830, 0.099778, -0.007914, 0.162818, 83.782026
10.108000, 83.774114, 83.782004, 83.774114, 800.000000, 800.075345, 800.000000, 83.881808, 0.099778, -0.007892, 0.162810, 83.782004
10.109000, 83.774114, 83.781982, 83.774114, 800.000000, 800.075134, 800.000000, 83.881787, 0.099779, -0.007870, 0.162802, 83.781982
10.110000, 83.774114, 83.781960, 83.774114, 800.000000, 800.074923, 800.000000, 83.881765, 0.099780, -0.007848, 0.162795, 83.781960
10.111000, 83.774114, 83.781938, 83.774114, 800.000000, 800.074713, 800.000000, 83.881744, 0.099780, -0.007826, 0.162787, 83.781938
10.112000, 83.774114, 83.781916, 83.774114, 800.000000, 800.074504, 800.000000, 83.881722, 0.099781, -0.007804, 0.162779, 83.781916
10.113000, 83.774114, 83.781894, 83.774114, 800.000000, 800.074295, 800.000000, 83.881701, 0.099782, -0.007782, 0.162771, 83.781894
10.114000, 83.774114, 83.781872, 83.774114, 800.000000, 800.074087, 800.000000, 83.881680, 0.099782, -0.007760, 0.162763, 83.781872
10.115000, 83.774114, 83.781850, 83.774114, 800.000000, 800.073879, 800.000000, 83.881658, 0.099783, -0.007739, 0.162756, 83.781850
10.116000, 83.774114, 83.781828, 83.774114, 800.000000, 800.073672, 800.000000, 83.881637, 0.099783, -0.007717, 0.162748, 83.781828
10.117000, 83.774114, 83.781807, 83.774114, 800.000000, 800.073465, 800.000000, 83.881616, 0.099784, -0.007695, 0.162740, 83.781807
10.118000, 83.774114, 83.781785, 83.774114, 800.000000, 800.073259, 800.000000, 83.881595, 0.099785, -0.007674, 0.162733, 83.781785
10.119000, 83.774114, 83.781764, 83.774114, 800.000000, 800.073054, 800.000000, 83.881574, 0.099785, -0.007652, 0.162725, 83.781764
10.120000, 83.774114, 83.781742, 83.774114, 800.000000, 800.072849, 800.000000, 83.881553, 0.099786, -0.007631, 0.162717, 83.781742
10.121000, 83.774114, 83.781721, 83.774114, 800.000000, 800.072645, 800.000000, 83.881532, 0.099786, -0.007609, 0.162710, 83.781721
10.122000, 83.774114, 83.781700, 83.774114, 800.000000, 800.072441, 800.000000, 83.881512, 0.099787, -0.007588, 0.162702, 83.781700
10.123000, 83.774114, 83.781678, 83.774114, 800.000000, 800.072238, 800.000000, 83.881491, 0.099788, -0.007567, 0.162694, 83.781678
10.124000, 83.774114, 83.781657, 83.774114, 800.000000, 800.072035, 800.000000, 83.881470, 0.099788, -0.007545, 0.162687, 83.781657
10.125000, 83.774114, 83.781636, 83.774114, 800.000000, 800.071833, 800.000000, 83.881449, 0.099789, -0.007524, 0.162679, 83.781636
10.126000, 83.774114, 83.781615, 83.774114, 800.000000, 800.071632, 800.000000, 83.881429, 0.099789, -0.007503, 0.162672, 83.781615
10.127000, 83.774114, 83.781594, 83.774114, 800.000000, 800.071431, 800.000000, 83.881408, 0.099790, -0.007482, 0.162664, 83.781594
10.128000, 83.774114, 83.781573, 83.774114, 800.000000, 800.071231, 800.000000, 83.881388, 0.099791, -0.007461, 0.162657, 83.781573
10.129000, 83.774114, 83.781552, 83.774114, 800.000000, 800.071031, 800.000000, 83.881368, 0.099791, -0.007440, 0.162649, 83.781552
10.130000, 83.774114, 83.781531, 83.774114, 800.000000, 800.070832, 800.000000, 83.881347, 0.099792, -0.007419, 0.162642, 83.781531
10.131000, 83.774114, 83.781510, 83.774114, 800.000000, 800.070633, 800.000000, 83.881327, 0.099792, -0.007399, 0.162635, 83.781510
10.132000, 83.774114, 83.781490, 83.774114, 800.000000, 800.070435, 800.000000, 83.881307, 0.099793, -0.007378, 0.162627, 83.781490
10.133000, 83.774114, 83.781469, 83.774114, 800.000000, 800.070238, 800.000000, 83.881287, 0.099793, -0.007357, 0.162620, 83.781469
10.134000, 83.774114, 83.781448, 83.774114, 800.000000, 800.070041, 800.000000, 83.881266, 0.099794, -0.007337, 0.162612, 83.781448
10.135000, 83.774114, 83.781428, 83.774114, 800.000000, 800.069844, 800.000000, 83.881246, 0.099795, -0.007316, 0.162605, 83.781428
10.136000, 83.774114, 83.781407, 83.774114, 800.000000, 800.069649, 800.000000, 83.881226, 0.099795, -0.007295, 0.162598, 83.781407
10.137000, 83.774114, 83.781387, 83.774114, 800.000000, 800.069453, 800.000000, 83.881206, 0.099796, -0.007275, 0.162591, 83.781387
10.138000, 83.774114, 83.781366, 83.774114, 800.000000, 800.069259, 800.000000, 83.881187, 0.099796, -0.007255, 0.162583, 83.781366
10.139000, 83.774114, 83.781346, 83.774114, 800.000000, 800.069064, 800.000000, 83.881167, 0.099797, -0.007234, 0.162576, 83.781346
10.140000, 83.774114, 83.781326, 83.774114, 800.000000, 800.068871, 800.000000, 83.881147, 0.099797, -0.007214, 0.162569, 83.781326
10.141000, 83.774114, 83.781305, 83.774114, 800.000000, 800.068678, 800.000000, 83.881127, 0.099798, -0.007194, 0.162562, 83.781305
10.142000, 83.774114, 83.781285, 83.774114, 800.000000, 800.068485, 800.000000, 83.881108, 0.099799, -0.007174, 0.162554, 83.781285
10.143000, 83.774114, 83.781265, 83.774114, 800.000000, 800.068293, 800.000000, 83.881088, 0.099799, -0.007153, 0.162547, 83.781265
10.144000, 83.774114, 83.781245, 83.774114, 800.000000, 800.068101, 800.000000, 83.881068, 0.099800, -0.007133, 0.162540, 83.781245
10.145000, 83.774114, 83.781225, 83.774114, 800.000000, 800.067911, 800.000000, 83.881049, 0.099800, -0.007113, 0.162533, 83.781225
10.146000, 83.774114, 83.781205, 83.774114, 800.000000, 800.067720, 800.000000, 83.881029, 0.099801, -0.007093, 0.162526, 83.781205
10.147000, 83.774114, 83.781185, 83.774114, 800.000000, 800.067530, 800.000000, 83.881010, 0.099801, -0.007074, 0.162519, 83.781185
10.148000, 83.774114, 83.781166, 83.774114, 800.000000, 800.067341, 800.000000, 83.880991, 0.099802, -0.007054, 0.162512, 83.781166
10.149000, 83.774114, 83.781146, 83.774114, 800.000000, 800.067152, 800.000000, 83.880971, 0.099803, -0.007034, 0.162505, 83.781146
10.150000, 83.774114, 83.781126, 83.774114, 800.000000, 800.066964, 800.000000, 83.880952, 0.099803, -0.007014, 0.162498, 83.781126
10.151000, 83.774114, 83.781106, 83.774114, 800.000000, 800.066776, 800.000000, 83.880933, 0.099804, -0.006995, 0.162491, 83.781106
10.152000, 83.774114, 83.781087, 83.774114, 800.000000, 800.066589, 800.000000, 83.880914, 0.099804, -0.006975, 0.162484, 83.781087
10.153000, 83.774114, 83.781067, 83.774114, 800.000000, 800.066402, 800.000000, 83.880895, 0.099805, -0.006955, 0.162477, 83.781067
10.154000, 83.774114, 83.781048, 83.774114, 800.000000, 800.066216, 800.000000, 83.880876, 0.099805, -0.006936, 0.162470, 83.781048
10.155000, 83.774114, 83.781028, 83.774114, 800.000000, 800.066030, 800.000000, 83.880857, 0.099806, -0.006916, 0.162463, 83.781028
10.156000, 83.774114, 83.781009, 83.774114, 800.000000, 800.065845, 800.000000, 83.880838, 0.099806, -0.006897, 0.162456, 83.781009
10.157000, 83.774114, 83.780990, 83.774114, 800.000000, 800.065660, 800.000000, 83.880819, 0.099807, -0.006878, 0.162449, 83.780990
10.158000, 83.774114, 83.780970, 83.774114, 800.000000, 800.065476, 800.000000, 83.880800, 0.099807, -0.006858, 0.162442, 83.780970
